Catálogo UNICO
Homologación entre los catálogos de SESA y OCRA


ID OCRA	ID SESA	Marca	Descripción 2014	Segmento, Clase	Clasificación
1	1	GENERAL MOTORS	CHEVELLE, NOVA, CAPRICE, OPEL	COMPACTO	AUTOMOVILES
La columna de "Segmento, Clase"  únicamente aplica para el catálogo de SESA
4	57	GENERAL MOTORS	CHEVY	SUBCOMPACTO	AUTOMOVILES
6	2	GENERAL MOTORS
CITATION, CELEBRITY,IMPALA Y MALIBU 1981 Y ANTERIORES
COMPACTO	AUTOMOVILES
8	7140	GENERAL MOTORS	KODIAK 4 X 2 CAJA REDILAS	7	CAMION
9	7026	GENERAL MOTORS	C-15,1500 PICK UP	1	COMERCIAL
12	255	HONDA	FIT	SUBCOMPACTO	AUTOMOVILES
14	22	BUICK	CENTURY	LUJO	AUTOMOVILES
16	29	GENERAL MOTORS	CUTLASS	LUJO	AUTOMOVILES
17	23	GENERAL MOTORS	SUBURBAN, CARRY ALL	MULTIUSOS	AUTOMOVILES
18	7037	GENERAL MOTORS	C-30,C35,C36,C3500, CHASIS ESTACAS	3	COMERCIAL
21	7135	GENERAL MOTORS	C-35, KODIAK 4 X 2 CAJA REDILAS	6	CAMION
22	7134	GENERAL MOTORS	C-35, KODIAK 4 X 2 PLATAFORMA	6	CAMION
23	7137	GENERAL MOTORS	C-35 KODIAK 4 X 2 CAJA MUDANCERA	6	CAMION
24	7147	GENERAL MOTORS	C-35, KODIAK6 X 2 CAJA REDILAS	8	CAMION
25	7149	GENERAL MOTORS	KODIAK 6 X 2 CAJA MUDANCERA	8	CAMION
26	7153	GENERAL MOTORS	KODIAK 6 X 2 VOLTEO	8	CAMION
27	7152	GENERAL MOTORS	KODIAK 6 X 2 TANQUE	8	CAMION
28	36	GENERAL MOTORS	CAVALIER MODELO 94 Y ANTERIORES	COMPACTO	AUTOMOVILES
29	38	GENERAL MOTORS	BLAZER	MULTIUSOS	AUTOMOVILES
31	40	GENERAL MOTORS	CORVETTE	DEPORTIVO	AUTOMOVILES
32	52	GENERAL MOTORS	SILHOUETTE	MULTIUSOS	AUTOMOVILES
33	55	GENERAL MOTORS	EIGHTY EIGHT	LUJO	AUTOMOVILES
35	56	GENERAL MOTORS	FIREBIRD TRANS AM	DEPORTIVO	AUTOMOVILES
36	62	GENERAL MOTORS	BONNEVILLE	LUJO	AUTOMOVILES
37	61	BUICK	REGAL	LUJO	AUTOMOVILES
38	86	GENERAL MOTORS	TRACKER	MULTIUSOS	AUTOMOVILES
39	7032	GENERAL MOTORS	C- 2500, SILVERADO PICK UP	2	COMERCIAL
40	85	GENERAL MOTORS	CAMARO	DEPORTIVO	AUTOMOVILES
42	84	GENERAL MOTORS	LUMINA	MULTIUSOS	AUTOMOVILES
45	91	GENERAL MOTORS	GRAN PRIX	COMPACTO	AUTOMOVILES
47	93	GENERAL MOTORS	MALIBU NUEVA GENERACION	COMPACTO	AUTOMOVILES
50	92	GENERAL MOTORS	VENTURE	MULTIUSOS	AUTOMOVILES
52	129	GENERAL MOTORS	TIGRA	SUBCOMPACTO	AUTOMOVILES
56	451	CADILLAC	DORADO	LUJO	AUTOMOVILES
58	120	GENERAL MOTORS	IMPALA	LUJO	AUTOMOVILES
59	163	GENERAL MOTORS	CORSA	SUBCOMPACTO	AUTOMOVILES
60	220	GENERAL MOTORS	CHEVY C2	SUBCOMPACTO	AUTOMOVILES
64	7029	GENERAL MOTORS	TORNADO,CHEVY PICK UP	1	COMERCIAL
65	7031	GENERAL MOTORS	C-20,MAXICAB, R 25,C250 PICK UP	2	COMERCIAL
66	251	GENERAL MOTORS	UPLANDER	MULTIUSOS	AUTOMOVILES
68	252	GENERAL MOTORS	HHR	MULTIUSOS	AUTOMOVILES
69	303	GENERAL MOTORS	TRAIL BLAZER	MULTIUSOS	AUTOMOVILES
71	7080	GENERAL MOTORS	SIERRA PICK UP	2	COMERCIAL
72	315	GENERAL MOTORS	ACADIA	MULTIUSOS	AUTOMOVILES
75	4	CHRYSLER	CORDOBA,MONACO, LE BARON	COMPACTO	AUTOMOVILES
86	7004	CHRYSLER	RAM PICK UP	1	COMERCIAL
86	7006	CHRYSLER	RAM PICK UP	2	COMERCIAL
87	7118	CHRYSLER	D500,600 RAM 6500 4 X 2 PLATAFORMA	6	CAMION
89	3	CHRYSLER	DART K, VOLARE K	COMPACTO	AUTOMOVILES
93	137	CHRYSLER	MAGNUM	MULTIUSOS	AUTOMOVILES
94	65	CHRYSLER	NEW YORKER LH	LUJO	AUTOMOVILES
95	7583	CHRYSLER	CARRYALL	1	COMERCIAL
98	6	CHRYSLER	PHANTOM	DEPORTIVO	AUTOMOVILES
99	7005	CHRYSLER	D-250 PICK UP	2	COMERCIAL
100	7014	CHRYSLER	D-350,RAM 3500 QUAD CAB PICK UP	3	COMERCIAL
101	7016	CHRYSLER	RAM VAN, MAXI VAN	3	COMERCIAL
104	7119	CHRYSLER	D500,600 RAM 6500 4 X 2 CAJA REDILAS	6	CAMION
105	7127	CHRYSLER	4 X 2 RAM CAJA REDILAS	7	CAMION
107	7132	CHRYSLER	6 X 2 RAM VOLTEO	7	CAMION
108	7133	CHRYSLER	6 X 2 RAM TANQUE	7	CAMION
109	31	CHRYSLER	SHADOW	COMPACTO	AUTOMOVILES
110	41	CHRYSLER	SPIRIT	COMPACTO	AUTOMOVILES
112	58	CHRYSLER	CONCORDE	DEPORTIVO	AUTOMOVILES
113	66	CHRYSLER	INTREPID	DEPORTIVO	AUTOMOVILES
117	190	CHRYSLER	VIPER	DEPORTIVO	AUTOMOVILES
118	43	CHRYSLER	IMPERIAL	LUJO	AUTOMOVILES
120	76	CHRYSLER	RAM PASAJEROS	MULTIUSOS	AUTOMOVILES
121	75	CHRYSLER	STRATUS Y BREEZE	COMPACTO	AUTOMOVILES
122	81	CHRYSLER	CIRRUS	COMPACTO	AUTOMOVILES
123	90	CHRYSLER	SEBRING / RT	DEPORTIVO	AUTOMOVILES
124	7002	CHRYSLER	DAKOTA PICK UP	1	COMERCIAL
127	106	CHRYSLER	DURANGO	MULTIUSOS	AUTOMOVILES
128	130	CHRYSLER	PT CRUISER	COMPACTO	AUTOMOVILES
129	26	CHRYSLER	RAM CHARGER	MULTIUSOS	AUTOMOVILES
130	454	CHRYSLER	JEEP CHEROKEE SPORT	MULTIUSOS	AUTOMOVILES
